vehiclecount,updatetime,_id,totalspaces,garagecode,streamtime
0,2014-05-22 21:31:45.521,65,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 21:31:45.521,66,512,SKOLEBAKKEN,2014-11-03 16:18:44
269,2014-05-22 21:31:45.521,67,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-22 21:31:45.521,68,953,BRUUNS,2014-11-03 16:18:44
138,2014-05-22 21:31:45.521,69,130,BUSGADEHUSET,2014-11-03 16:18:44
100,2014-05-22 21:31:45.521,70,400,MAGASIN,2014-11-03 16:18:44
38,2014-05-22 21:31:45.521,71,210,KALKVAERKSVEJ,2014-11-03 16:18:44
79,2014-05-22 21:31:45.521,72,700,SALLING,2014-11-03 16:18:44
0,2014-05-22 22:01:45.604,73,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 22:01:45.604,74,512,SKOLEBAKKEN,2014-11-03 16:18:44
260,2014-05-22 22:01:45.604,75,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-22 22:01:45.604,76,953,BRUUNS,2014-11-03 16:18:44
136,2014-05-22 22:01:45.604,77,130,BUSGADEHUSET,2014-11-03 16:18:44
91,2014-05-22 22:01:45.604,78,400,MAGASIN,2014-11-03 16:18:44
34,2014-05-22 22:01:45.604,79,210,KALKVAERKSVEJ,2014-11-03 16:18:44
69,2014-05-22 22:01:45.604,80,700,SALLING,2014-11-03 16:18:44
0,2014-05-22 22:37:52.051,81,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-22 22:37:52.051,82,512,SKOLEBAKKEN,2014-11-03 16:18:44
245,2014-05-22 22:37:52.051,83,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-22 22:37:52.051,84,953,BRUUNS,2014-11-03 16:18:44
136,2014-05-22 22:37:52.051,85,130,BUSGADEHUSET,2014-11-03 16:18:44
87,2014-05-22 22:37:52.051,86,400,MAGASIN,2014-11-03 16:18:44
33,2014-05-22 22:37:52.051,87,210,KALKVAERKSVEJ,2014-11-03 16:18:44
66,2014-05-22 22:37:52.051,88,700,SALLING,2014-11-03 16:18:44
0,2014-05-23 08:26:29.439,89,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-23 08:26:29.439,90,512,SKOLEBAKKEN,2014-11-03 16:18:44
588,2014-05-23 08:26:29.439,91,1240,SCANDCENTER,2014-11-03 16:18:44
22,2014-05-23 08:26:29.439,92,953,BRUUNS,2014-11-03 16:18:44
78,2014-05-23 08:26:29.439,93,130,BUSGADEHUSET,2014-11-03 16:18:44
132,2014-05-23 08:26:29.439,94,400,MAGASIN,2014-11-03 16:18:44
74,2014-05-23 08:26:29.439,95,210,KALKVAERKSVEJ,2014-11-03 16:18:44
158,2014-05-23 08:26:29.439,96,700,SALLING,2014-11-03 16:18:44
0,2014-05-23 09:57:48.596,97,65,NORREPORT,2014-11-03 16:18:44
0,2014-05-23 09:57:48.596,98,512,SKOLEBAKKEN,2014-11-03 16:18:44
948,2014-05-23 09:57:48.596,99,1240,SCANDCENTER,2014-11-03 16:18:44
