POINT_1_STREET,DURATION_IN_SEC,POINT_1_NAME,POINT_1_CITY,POINT_2_NAME,POINT_2_LNG,POINT_2_STREET,NDT_IN_KMH,POINT_2_POSTAL_CODE,POINT_2_COUNTRY,POINT_1_STREET_NUMBER,ORGANISATION,POINT_1_LAT,POINT_2_LAT,POINT_1_POSTAL_CODE,POINT_2_STREET_NUMBER,POINT_2_CITY,extID,ROAD_TYPE,POINT_1_LNG,REPORT_ID,POINT_1_COUNTRY,DISTANCE_IN_METERS,REPORT_NAME,RBA_ID,_id
Søftenvej,77,4364,Aarhus,4349,10.161038385250095,Søftenvej,70,8200,Denmark,0,COWI,56.2149789163549,56.20852026816215,8200,0,Aarhus,179,MAJOR_ROAD,10.13969570304107,158895,Denmark,1505,AAR_BT_0020 4364 4349,161062,1586
Grenåvej,65,4582,Risskov,4581,10.21908612268453,Grenåvej,44,8240,Denmark,126,COWI,56.186546268439095,56.19369241581476,8240,126,Risskov,194,MAJOR_ROAD,10.218303812914883,178600,Denmark,797,AAR_BT_0101 4582 4581,178660,1601
Skanderborgvej,84,3987,Aarhus,2651,10.157658842922274,Viby Ringvej,35,8260,Denmark,168,COWI,56.131053962866226,56.13203209461566,8260,168,Aarhus,324,MAJOR_ROAD,10.166163050262412,187509,Denmark,823,AAR_BT_0231 3987 2651,189702,1731
Grenåvej,55,4572,Risskov,4581,10.218878251485876,Grenåvej,53,8240,Denmark,0,COWI,56.19774431284465,56.19371107014121,8240,0,Risskov,383,MAJOR_ROAD,10.228593618385275,190744,Denmark,813,AAR_BT_0291 4572 4581,192392,1790
Holmstrupgårdvej,91,4337,Aarhus,4336,10.12084169080731,Holmstrupgårdvej,40,8210,Denmark,28,COWI,56.169454614092764,56.178402535294865,8220,150,Aarhus,436,MAJOR_ROAD,10.11966875826647,195041,Denmark,1015,AAR_BT_0356 4337 4336,229156,1843
Edwin Rahrs Vej,93,4331,Aarhus,2655,10.1515794551907,Åby Ringvej,42,8210,Denmark,6B,COWI,56.162574351819416,56.167867187555736,8220,6B,Aarhus,455,MAJOR_ROAD,10.139154364418005,195552,Denmark,1090,AAR_BT_0375 4331 2655,229194,1862
Edwin Rahrs Vej,127,4328,Aarhus,4345,10.093612498182324,Anelystvej,45,8381,Denmark,0,COWI,56.15962240514419,56.16718933444926,8220,35,Tilst,470,MAJOR_ROAD,10.077223474868788,197274,Denmark,1572,AAR_BT_0390 4328 4345,229224,1877
Skanderborgvej,72,4373,Aarhus,4566,10.174677478504236,Christian X's Vej,41,8260,Denmark,106,COWI,56.13844851575673,56.13241046310714,8260,35,Aarhus,594,MAJOR_ROAD,10.179150601188667,209827,Denmark,829,AAR_BT_0514 4373 4566,229653,2001
Randersvej,210,4361,Aarhus,4564,10.216211542327983,Vejlby Centervej,39,8240,Denmark,0,COWI,56.18950967440927,56.19677547153966,8200,7,Risskov,604,MAJOR_ROAD,10.190940219574031,210093,Denmark,2279,AAR_BT_0526 4361 4564,229673,2011
Viby Ringvej,137,2652,Aarhus,3988,10.177203408737114,Haveforening Af 1918,53,8000,Denmark,104,COWI,56.1404960893661,56.13953206657349,8230,4,Aarhus,317,MAJOR_ROAD,10.154132957008414,187324,Denmark,2013,AAR_BT_0224 2652 3988,189688,1724
